Country of birth(c),1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
N'thern Ireland,"23,040","22,810","22,710","22,530","22,190","21,950","21,990","22,530","22,550","22,890","23,280","24,180","25,040","25,980","26,330","27,320","28,060","28,400","27,930","27,340","26,730","26,500","26,210","25,840","25,550","24,760","24,230","25,060","25,920"
Scotland,"150,110","148,850","147,250","145,390","143,650","141,850","139,190","138,110","137,110","136,920","136,630","138,280","139,780","140,670","140,570","141,220","142,200","142,360","141,080","139,390","137,760","135,980","134,040","132,080","130,390","127,340","125,000","124,710","124,880"
Wales,"32,230","31,910","31,610","31,370","31,220","30,770","30,680","30,660","30,970","31,180","31,810","32,330","32,710","33,030","33,080","33,470","33,740","33,790","33,340","32,790","32,360","32,340","32,220","32,020","31,920","31,430","30,910","31,060","31,230"
Guernsey,590,590,590,590,590,580,590,610,620,650,630,660,690,730,720,760,800,830,850,870,870,880,870,860,840,810,800,820,860
Jersey,"1,010","1,010","1,010","1,010","1,010","1,000","1,000","1,050","1,070","1,120","1,090","1,120","1,150","1,210","1,240","1,290","1,320","1,370","1,350","1,370","1,380","1,380","1,400","1,400","1,430","1,380","1,380","1,430","1,490"
Ireland,"53,850","53,600","53,450","53,470","53,580","53,650","53,890","54,390","55,020","55,700","56,800","58,440","62,180","67,990","70,970","78,620","91,050","96,360","94,120","90,530","88,020","87,130","87,230","87,570","88,290","86,530","85,660","94,540","103,080"
Austria,"22,700","22,390","22,150","21,870","21,640","21,330","21,220","21,150","21,080","21,040","20,950","20,800","20,670","20,440","20,160","19,800","19,370","18,950","18,440","17,990","17,470","17,000","16,570","16,140","15,730","15,230","14,710","14,290","13,890"
Belgium,"5,080","5,170","5,240","5,270","5,320","5,380","5,480","5,620","5,700","5,790","5,920","6,130","6,300","6,380","6,510","6,690","6,910","7,130","7,200","7,290","7,370","7,460","7,660","7,700","7,970","7,640","7,550","7,950","8,160"
France,"16,500","16,920","17,290","17,780","18,110","18,400","19,000","19,710","20,380","21,120","22,020","23,570","25,160","26,920","28,120","29,770","31,860","33,780","35,150","36,670","37,470","38,190","38,990","39,530","41,100","38,480","37,740","42,370","46,040"
Germany,"121,910","121,550","120,720","119,860","119,040","118,340","119,470","120,680","121,790","123,010","124,710","125,780","126,450","126,410","126,260","125,750","124,680","123,060","120,780","119,100","116,700","115,700","113,880","111,580","110,430","107,060","104,720","104,370","102,960"
Liechtenstein,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,10
Luxembourg,130,140,150,150,150,150,160,160,170,170,190,200,200,200,210,230,240,250,250,250,260,280,290,300,310,310,310,320,330
Monaco,20,30,30,30,30,40,40,50,50,50,50,50,60,60,70,70,70,80,80,80,90,90,80,80,90,90,80,100,110
Netherlands,"96,370","95,770","94,860","93,780","92,790","91,900","91,840","91,760","91,610","91,620","91,850","91,270","90,560","89,570","88,500","87,660","86,200","84,580","82,520","80,620","78,670","77,350","75,810","73,930","72,480","70,140","68,070","66,890","65,440"
Switzerland,"11,050","11,450","11,690","11,900","12,050","12,250","12,410","12,680","12,820","13,060","13,480","13,580","13,740","13,910","14,030","14,260","14,310","14,260","14,170","14,190","14,160","14,170","14,080","13,980","13,980","13,750","13,640","13,670","13,630"
Denmark,"9,740","9,820","9,920","9,920","9,920","10,030","10,130","10,250","10,340","10,480","10,610","10,650","10,650","10,590","10,610","10,640","10,670","10,600","10,380","10,230","10,130","10,070","9,890","9,750","9,700","9,420","9,260","9,320","9,360"
Faroe Islands,30,40,40,40,30,40,40,40,40,40,40,40,40,40,40,40,40,40,30,30,20,20,30,30,30,30,30,30,20
Finland,"9,420","9,480","9,480","9,450","9,420","9,360","9,370","9,420","9,430","9,490","9,600","9,560","9,560","9,530","9,520","9,520","9,460","9,330","9,230","9,210","9,050","9,060","8,910","8,750","8,620","8,310","8,120","8,140","8,050"
Greenland,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,30,30,30,30,30
Iceland,400,470,520,550,560,590,620,640,670,670,670,690,690,710,700,710,670,640,640,610,570,550,510,480,470,430,430,440,420
Norway,"2,880","3,260","3,470","3,690","3,990","4,230","4,260","4,320","4,360","4,380","4,430","4,330","4,350","4,310","4,350","4,400","4,450","4,450","4,430","4,360","4,390","4,350","4,360","4,200","4,150","3,920","3,980","4,130","4,250"
Sweden,"6,380","6,630","6,790","6,890","7,110","7,300","7,560","7,840","8,200","8,550","8,960","9,230","9,520","9,740","10,050","10,330","10,720","11,060","11,300","11,480","11,640","11,660","11,750","11,770","11,780","11,530","11,390","11,790","11,930"
Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,30,30,20,20,20,10,10,10,10,10
Andorra,10,10,20,30,30,20,20,20,20,30,30,20,30,30,20,20,20,20,20,20,30,30,30,30,30,20,20,20,30
Gibraltar,460,450,470,480,480,470,500,500,490,490,470,470,480,480,480,480,490,500,500,490,490,480,480,480,470,460,460,460,460
Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,"250,360","246,410","242,460","238,330","234,040","229,850","227,710","225,360","222,950","220,550","218,040","214,970","211,270","208,130","204,690","201,680","200,350","200,670","200,350","198,510","195,760","190,810","185,300","179,630","174,790","167,570","161,580","158,970","156,070"
Malta,"55,980","55,060","54,210","53,350","52,610","51,810","51,710","51,610","51,480","51,380","51,160","50,630","50,040","49,320","48,660","47,960","47,080","46,130","45,140","44,070","43,020","42,090","41,180","40,270","39,280","38,240","37,170","36,120","35,130"
Portugal,"18,660","18,700","18,480","18,270","17,990","17,780","17,870","17,980","18,030","18,160","18,280","18,310","18,390","18,460","18,470","18,550","18,720","19,030","19,170","19,140","19,130","19,060","18,960","18,780","18,670","18,410","18,160","18,190","18,190"
San Marino,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Spain,"14,710","14,560","14,500","14,350","14,170","14,110","14,170","14,220","14,260","14,320","14,430","14,550","14,560","14,680","14,890","15,320","16,130","16,980","17,380","17,730","18,090","18,420","18,770","19,040","19,710","18,820","18,400","20,360","21,100"
Albania,"1,200","1,290","1,390","1,440","1,530","1,620","1,690","2,070","2,180","2,270","2,410","2,500","2,610","2,760","2,880","2,950","3,010","3,130","3,330","3,460","3,530","3,690","3,820","3,910","4,010","3,950","3,960","4,110","4,170"
Bosnia/Herzegov,"20,570","24,950","27,260","28,560","28,650","28,780","31,590","34,000","36,220","38,400","40,580","40,490","40,240","39,930","39,730","39,440","38,860","38,190","37,500","36,750","36,060","35,360","34,610","33,820","33,060","32,100","31,330","30,790","30,350"
Bulgaria,"2,600","2,740","2,810","2,950","3,020","3,110","3,240","3,300","3,360","3,440","3,450","3,530","3,550","3,600","3,600","3,620","3,660","3,780","3,880","3,930","4,010","4,050","4,120","4,120","4,120","4,050","3,930","3,930","3,930"
Croatia,"57,640","57,730","57,650","58,030","58,210","58,690","61,930","64,750","67,160","69,500","71,810","71,110","70,240","69,370","68,490","67,580","66,130","64,810","63,300","61,820","60,170","58,840","57,380","55,950","54,650","53,080","51,390","50,010","48,650"
