Country of birth(c),1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Korea, South","30,470","31,430","33,010","34,490","36,180","38,980","41,510","44,380","47,210","51,150","55,950","64,700","73,770","81,350","84,150","85,930","91,630","97,860","101,880","106,550","111,570","114,830","116,680","116,430","111,980","107,130","108,870","115,660","119,190"
Bangladesh,"5,650","6,540","6,780","7,370","8,490","9,790","11,110","12,520","14,090","16,130","18,510","21,460","24,110","26,800","29,550","31,620","34,270","37,110","39,870","43,090","46,250","48,830","51,360","53,560","55,830","54,870","57,570","63,900","73,660"
Bhutan,50,50,60,70,70,70,90,110,120,130,140,200,260,960,"1,690","2,680","3,370","3,980","5,200","5,850","6,420","7,410","9,030","10,960","12,910","12,780","14,450","27,890","37,530"
India,"80,470","83,280","84,730","86,330","90,680","98,070","108,270","119,430","132,790","148,960","169,720","204,440","251,200","307,590","329,510","337,120","355,380","378,480","411,240","449,040","489,410","538,320","593,270","665,400","724,060","712,040","753,730","846,860","916,330"
Maldives,170,140,140,150,170,170,210,220,240,280,320,320,370,390,430,440,470,520,550,610,610,600,600,600,660,620,640,730,800
Nepal,"1,410","1,520","1,640","1,760","2,000","2,440","2,710","3,020","3,370","3,830","4,350","7,980","14,960","24,820","27,200","27,810","30,730","34,750","42,900","50,150","58,980","73,920","94,970","119,060","132,400","130,290","151,120","179,050","197,800"
Pakistan,"8,710","9,500","9,630","10,160","10,950","12,290","13,290","14,190","15,290","16,810","18,320","21,060","23,950","27,250","30,600","34,150","40,020","46,910","54,400","62,270","69,660","76,550","84,260","91,650","97,080","96,170","103,140","120,600","134,720"
Sri Lanka,"53,880","55,720","56,610","57,140","58,210","60,640","63,500","66,040","67,780","70,620","73,820","78,940","85,600","92,060","96,480","99,740","104,950","110,670","115,060","119,700","124,500","128,360","132,180","137,480","142,690","140,110","145,430","158,720","172,800"
Afghanistan,"7,170","8,190","9,210","10,890","12,580","13,860","14,600","15,770","17,010","18,620","21,980","24,500","26,430","28,500","30,840","32,970","35,930","39,770","45,310","49,550","53,670","55,900","58,460","60,730","63,010","63,660","71,950","78,540","88,730"
Armenia,910,940,950,970,980,980,980,"1,040","1,090","1,110","1,130","1,140","1,170","1,180","1,200","1,220","1,280","1,330","1,400","1,460","1,520","1,510","1,490","1,460","1,450","1,420","1,440","1,480","1,510"
Azerbaijan,90,120,140,170,190,200,230,250,290,300,300,330,340,390,420,460,500,550,600,650,680,700,730,750,750,730,750,820,850
Georgia,190,200,220,240,290,360,380,380,390,400,400,440,460,470,490,500,540,590,610,620,650,670,710,740,760,790,810,860,920
Kazakhstan,190,250,300,320,380,480,500,550,610,670,770,850,950,"1,080","1,190","1,310","1,500","1,650","1,780","1,920","2,020","2,150","2,250","2,360","2,470","2,450","2,570","2,760","2,910"
Kyrgyzstan,30,50,70,80,100,110,140,160,210,240,240,270,310,330,360,400,420,440,470,490,520,560,570,620,650,630,660,720,770
Tajikistan,30,30,40,40,50,50,50,60,60,70,60,80,80,90,100,110,130,130,150,160,160,160,170,200,210,210,220,230,250
Turkmenistan,10,10,20,20,30,40,40,50,60,60,60,60,70,80,90,90,90,100,100,100,110,120,120,130,140,130,140,150,170
Uzbekistan,340,380,420,460,490,530,570,610,680,760,930,"1,010","1,100","1,230","1,300","1,380","1,500","1,620","1,720","1,840","1,950","2,050","2,140","2,240","2,320","2,280","2,330","2,490","2,670"
Bermuda,380,400,400,400,410,420,440,450,460,460,470,470,480,500,520,520,550,560,570,580,580,580,590,590,600,600,610,610,620
Canada,"27,970","28,680","29,280","29,630","30,240","31,020","32,260","33,660","34,850","36,250","38,220","39,860","41,820","43,200","44,530","46,230","48,550","50,140","51,360","52,590","53,750","54,560","55,150","55,930","56,590","55,950","56,360","57,990","59,650"
St Pierre/Mique,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,"56,050","57,630","58,400","58,850","59,690","60,780","62,890","65,350","67,510","70,520","74,670","78,930","80,730","82,200","85,330","90,090","96,710","100,810","102,690","104,650","105,750","108,830","110,090","111,040","113,170","113,470","112,610","115,110","118,000"
Argentina,"12,140","12,130","12,080","12,070","12,020","12,030","12,110","12,300","12,660","13,090","13,480","13,510","13,570","13,570","13,730","13,800","14,060","14,590","15,070","15,510","16,020","16,380","16,970","18,390","20,680","19,980","20,880","27,000","29,690"
Bolivia,620,630,640,670,700,700,720,740,760,770,780,800,830,840,860,900,960,"1,020","1,050","1,050","1,080","1,080","1,080","1,110","1,140","1,110","1,130","1,250","1,310"
Brazil,"3,690","3,870","4,090","4,420","4,750","5,120","5,580","6,160","6,710","7,530","8,500","10,930","13,790","15,690","16,550","17,060","18,600","20,330","24,150","26,790","32,900","40,580","47,010","51,680","53,610","52,000","54,750","66,820","72,920"
Chile,"26,850","26,580","26,440","26,290","26,080","25,920","26,110","26,370","26,590","26,870","27,190","27,500","27,770","28,100","28,280","28,520","29,050","29,410","29,690","30,180","31,040","31,580","32,360","33,210","34,030","33,150","33,810","38,020","39,900"
Colombia,"2,870","3,150","3,350","3,650","4,000","4,510","4,780","5,130","5,420","5,810","6,230","7,570","9,320","11,220","12,410","13,030","14,620","16,440","17,960","19,810","22,680","26,560","30,400","35,530","40,350","39,050","40,120","62,930","70,010"
Ecuador,"1,380","1,420","1,440","1,450","1,460","1,460","1,490","1,540","1,580","1,650","1,740","1,760","1,810","1,860","1,940","2,000","2,110","2,300","2,700","2,810","2,710","2,710","2,720","2,760","2,880","2,810","2,870","4,040","5,380"
Falkland Is,120,130,130,130,130,130,130,120,120,120,120,130,130,130,130,130,130,120,120,120,120,110,100,100,90,90,80,90,90
French Guiana,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,30
Guyana,520,540,520,510,520,530,530,540,560,560,570,580,590,600,600,610,630,640,650,660,670,650,640,630,620,600,590,580,580
Paraguay,320,340,350,350,360,360,380,400,400,410,420,410,410,420,450,450,470,490,490,500,510,570,570,570,580,560,590,660,710
Peru,"5,320","5,550","5,590","5,670","5,770","5,940","6,050","6,300","6,430","6,680","7,150","7,760","8,530","9,200","9,610","9,840","10,230","10,680","11,000","11,270","11,570","11,750","12,120","12,460","12,940","12,810","13,050","15,160","16,470"
Suriname,80,80,90,90,90,80,90,100,100,100,110,120,110,120,120,120,140,160,160,170,160,170,160,160,160,160,150,160,160
Uruguay,"10,980","10,850","10,770","10,650","10,570","10,490","10,520","10,600","10,670","10,790","10,940","10,880","10,830","10,710","10,630","10,540","10,570","10,560","10,570","10,580","10,620","10,580","10,540","10,580","10,510","10,230","10,170","10,370","10,380"
Venezuela,890,"1,000","1,070","1,130","1,170","1,260","1,310","1,390","1,460","1,580","1,800","2,000","2,400","2,770","3,350","3,870","4,370","4,790","5,160","5,760","6,470","7,020","7,060","7,150","7,410","7,370","7,390","8,040","8,480"
"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,40,40,40,40,50,50,50,50,60,60,60,60,60,60,60,70,70,80,80,80,80,80,80,80,80,80,80,80,80
Costa Rica,350,350,360,360,350,350,350,360,370,380,390,400,420,420,440,450,470,460,490,500,530,550,560,600,620,620,640,680,700
El Salvador,"10,960","11,090","10,990","10,830","10,670","10,570","10,630","10,670","10,710","10,750","10,780","10,780","10,820","10,870","10,960","10,990","11,100","11,200","11,280","11,350","11,430","11,370","11,330","11,280","11,280","11,210","11,160","11,230","11,220"
Guatemala,270,290,300,310,310,310,330,340,350,350,350,380,400,410,410,430,460,470,510,540,550,570,580,620,650,640,700,820,880
Honduras,170,180,190,190,180,190,200,220,220,230,220,230,240,240,240,240,250,270,310,320,310,320,330,350,390,410,440,510,540
Mexico,"1,030","1,090","1,160","1,210","1,270","1,320","1,380","1,520","1,630","1,820","2,140","2,450","2,820","3,030","3,400","3,770","4,270","4,620","4,980","5,390","5,920","6,400","6,870","7,410","7,760","7,630","7,910","9,210","9,980"
Nicaragua,850,850,840,810,800,780,780,770,780,770,790,810,810,810,820,820,830,850,860,860,870,870,880,890,900,890,900,900,900
Panama,130,130,130,140,140,140,150,150,160,170,190,190,200,200,220,230,230,240,260,250,260,270,280,290,320,320,330,340,370
Anguilla,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,10,10,10,10,0,0,0,0
Antigua/Barbuda,20,30,30,30,30,30,30,30,40,30,40,40,40,40,40,40,40,40,50,60,60,60,60,60,60,60,60,60,60
Aruba,60,60,60,60,60,50,60,60,50,50,50,50,50,60,60,60,60,60,60,70,70,70,70,80,70,70,70,70,80
Bahamas,240,260,270,270,270,240,250,260,260,270,270,270,280,280,280,290,300,300,300,310,310,310,300,310,310,300,310,310,310
Barbados,360,360,380,390,370,350,360,370,380,380,390,400,420,420,430,430,440,450,450,450,450,450,440,430,430,430,420,420,430
Cayman Islands,10,10,10,20,20,20,20,30,30,40,40,40,50,60,80,90,100,110,130,130,150,150,160,160,170,170,180,180,200
Cuba,500,500,490,500,510,510,530,560,590,610,640,670,710,720,750,760,810,870,870,880,900,910,940,950,980,970,980,"1,020","1,050"
Dominica,10,10,20,20,20,10,10,20,20,20,20,30,30,30,30,40,40,40,40,40,40,40,40,40,30,30,30,40,40
Dominican Rep,50,60,60,70,70,70,80,90,100,110,110,120,130,130,140,160,170,170,200,210,210,230,250,250,260,270,270,320,350
Grenada,100,110,120,120,130,120,120,130,120,130,130,130,130,130,130,130,140,140,140,140,140,140,150,150,150,150,150,140,140
Guadeloupe,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20,30,30,30,30,30,30,40
Haiti,80,80,90,90,90,90,90,100,90,90,110,100,100,100,100,110,110,110,120,120,120,130,130,130,130,120,120,140,150
Jamaica,900,900,930,940,930,930,950,960,970,"1,000","1,040","1,040","1,060","1,070","1,090","1,150","1,170","1,220","1,250","1,290","1,280","1,310","1,320","1,320","1,320","1,310","1,320","1,360","1,350"
Martinique,20,30,30,30,40,30,40,30,30,30,40,40,40,40,40,50,40,40,50,40,40,40,40,40,40,40,40,40,50
Montserrat,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,20,20,10,10,10,10,10,10
Puerto Rico,100,120,110,120,140,140,160,170,170,160,180,190,220,130,150,150,150,160,170,170,180,200,220,220,220,220,220,230,240
St Kitts/Nevis,20,40,30,30,30,30,40,40,40,40,40,40,40,40,30,40,40,40,50,50,50,50,50,50,50,50,50,50,50
St Lucia,20,30,20,30,30,30,30,30,30,40,40,40,40,50,50,50,60,70,70,70,70,70,70,70,70,70,70,80,80
St Vinc/Grenad,60,70,70,80,80,80,80,80,80,90,90,90,80,70,50,60,60,60,70,70,70,60,60,60,70,70,60,60,70
Trinidad/Tobago,"1,350","1,380","1,400","1,400","1,410","1,440","1,460","1,490","1,530","1,560","1,580","1,630","1,670","1,670","1,690","1,730","1,780","1,850","1,910","1,910","1,880","1,850","1,860","1,850","1,860","1,830","1,850","1,860","1,890"
Turks/Caicos Is,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Is, Brit",10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,20,20,20,20,20,20
"Virgin Is, US",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,20,20,20,20,20,20
St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Curacao,90,90,90,90,90,90,90,100,100,100,110,110,110,110,120,120,130,140,140,150,150,150,150,150,150,150,150,160,160
Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10
Benin,10,20,20,30,30,20,20,20,30,30,30,40,60,70,80,90,100,100,100,110,100,100,100,100,100,90,90,100,100
Burkina Faso,10,10,20,10,10,20,20,20,20,20,20,30,40,40,40,40,50,50,50,60,60,50,50,50,60,60,60,70,70
Cameroon,30,50,50,60,70,70,90,110,120,130,140,170,200,220,270,320,360,390,420,450,480,500,530,560,590,580,610,660,750
Cabo Verde,30,40,40,40,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,30,40,40,40,40,40,50
Cent Africa Rep,10,10,10,10,10,0,10,10,10,10,10,10,20,20,20,20,30,30,30,30,40,30,30,80,150,150,150,170,270
Chad,20,40,40,40,40,40,40,40,40,40,40,40,50,50,60,60,70,70,70,70,60,60,60,70,100,100,100,110,140
"Congo, Rep",20,80,90,100,130,170,180,210,380,710,660,780,820,920,"1,030","1,120","1,360","1,440","1,520","1,610","1,700","1,870","2,020","2,160","2,320","2,440","2,470","2,500","2,560"
"Congo, Dem Rep",320,340,340,330,310,280,290,290,320,360,630,"1,170","1,650","1,930","2,470","2,850","3,240","3,450","3,910","4,270","4,810","4,930","5,330","6,590","7,030","6,840","7,020","7,240","8,520"
Cote d'Ivoire,40,50,60,60,60,70,70,80,80,200,230,290,350,400,480,500,540,550,580,600,600,640,630,640,660,660,660,680,690
Equator Guinea,0,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,20,20,20,20,20,20,20
Gabon,10,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,40,40,50,50,60,50,50,50,50,50,60,60
Gambia,20,20,30,40,30,40,50,60,70,80,90,90,100,100,100,110,110,120,120,130,130,120,130,130,130,130,140,140,150
Ghana,"1,680","1,860","1,920","2,070","2,160","2,250","2,340","2,480","2,640","2,820","3,150","3,440","3,690","3,920","4,210","4,440","4,830","5,210","5,540","5,900","6,300","6,590","6,870","7,110","7,240","7,100","7,460","8,350","9,310"
Guinea,10,20,20,30,30,30,40,80,90,220,290,410,490,530,660,720,790,830,890,940,960,"1,040","1,050","1,060","1,050","1,040","1,110","1,130","1,150"
Guinea-Bissau,10,20,20,20,20,20,20,20,20,20,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30
Liberia,90,100,120,120,110,120,280,470,530,"1,360","1,590","2,130","2,360","2,630","2,930","3,010","3,170","3,280","3,440","3,520","3,580","3,650","3,650","3,630","3,580","3,550","3,600","3,660","3,720"
Mali,10,30,20,20,20,30,40,40,40,40,50,50,50,50,60,60,70,80,80,80,80,80,70,60,60,50,50,60,60
Mauritania,0,10,20,20,20,20,20,20,20,20,10,20,50,50,50,50,50,50,50,60,60,60,60,50,50,50,40,50,50
Niger,10,10,20,20,20,10,10,20,20,10,10,20,20,20,20,30,30,30,40,30,30,30,30,40,40,40,30,30,30
Nigeria,"1,460","1,510","1,580","1,710","1,800","1,950","2,130","2,280","2,410","2,580","2,880","3,260","3,610","4,130","4,640","5,130","5,680","6,410","7,330","8,360","9,800","11,460","12,550","13,510","14,350","14,330","15,930","18,400","20,620"
Sao Tome/Princ,20,30,30,20,20,20,20,20,20,20,20,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Senegal,200,210,220,220,240,240,250,270,270,280,260,280,340,360,370,380,400,410,430,430,460,450,460,460,470,470,490,510,500
Sierra Leone,170,180,190,200,260,370,790,970,"1,000","1,570","1,950","2,450","2,700","2,930","3,320","3,450","3,620","3,770","3,910","3,990","4,050","4,080","4,180","4,140","4,100","4,060","4,160","4,210","4,260"
Togo,10,20,20,20,20,20,20,20,30,30,40,80,180,230,280,320,340,350,370,370,370,370,360,350,350,340,350,350,350
Angola,400,410,430,420,420,410,430,440,440,450,470,490,510,520,530,530,540,560,560,560,560,560,560,570,570,570,560,580,580
Botswana,260,390,530,590,670,750,780,840,900,970,"1,040","1,030","1,100","1,120","1,120","1,120","1,170","1,250","1,300","1,320","1,370","1,430","1,490","1,560","1,620","1,590","1,630","1,770","1,930"
Burundi,30,30,30,20,30,30,30,50,100,430,830,"1,280","1,520","1,720","1,860","1,940","2,030","2,120","2,230","2,390","2,510","2,540","2,670","2,940","3,080","3,020","3,080","3,180","3,450"
Comoros,10,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,20,20,30
Djibouti,70,70,70,90,80,80,90,100,100,120,110,120,120,130,130,150,170,170,180,190,200,200,200,200,200,200,200,200,210
Eritrea,"1,330","1,540","1,550","1,710","1,780","1,790","1,980","2,100","2,220","2,280","2,400","2,540","2,680","2,860","3,090","3,260","3,620","3,840","4,190","4,660","5,140","5,400","5,710","5,940","6,320","6,270","6,370","6,620","6,830"
Ethiopia,"2,620","3,030","3,190","3,480","3,640","3,820","4,290","4,940","5,620","6,110","6,390","6,990","7,450","8,210","8,970","9,630","10,620","11,280","12,190","13,130","14,000","14,620","15,020","15,390","15,760","15,670","16,100","16,650","17,660"
Kenya,"6,060","6,240","6,420","6,880","7,190","7,640","8,290","9,140","9,870","10,850","11,640","12,690","13,570","14,540","15,370","15,870","16,640","17,550","18,510","19,720","21,090","22,560","23,610","24,580","25,230","24,840","26,520","30,970","35,780"
Lesotho,60,60,60,70,70,60,80,80,90,90,100,100,110,110,110,120,130,140,150,150,150,150,150,150,150,150,150,160,180
Madagascar,150,170,170,180,180,180,180,200,210,220,240,240,250,260,260,270,270,280,290,290,310,310,330,350,360,340,340,350,380
Malawi,470,510,510,530,540,540,610,640,700,760,820,850,910,980,"1,020","1,080","1,210","1,290","1,370","1,400","1,490","1,530","1,560","1,680","1,710","1,670","1,740","1,820","2,040"
Mauritius,"19,020","18,890","18,740","18,610","18,530","18,580","18,950","19,380","19,820","20,310","20,930","21,900","24,140","26,690","26,980","26,780","27,140","27,590","28,070","28,660","29,300","29,440","29,410","29,460","29,440","28,820","28,990","29,500","29,950"
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
Mozambique,510,550,580,610,630,640,680,720,750,770,790,790,820,870,860,890,940,960,980,"1,010","1,020","1,030","1,040","1,060","1,060","1,030","1,020","1,070","1,100"
Namibia,330,350,370,420,450,470,540,630,660,740,810,860,950,"1,050","1,090","1,160","1,250","1,350","1,380","1,430","1,510","1,550","1,580","1,640","1,700","1,700","1,750","1,890","1,970"
Reunion,70,80,80,90,90,80,100,110,130,140,160,170,200,210,210,210,220,220,220,220,230,240,220,230,220,200,210,220,230
Rwanda,20,50,50,50,50,50,60,80,130,180,240,340,400,480,620,720,790,860,920,980,"1,040","1,070","1,090","1,170","1,190","1,180","1,220","1,270","1,500"
St Helena,30,30,40,40,40,30,30,40,40,40,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40
Seychelles,"2,900","2,860","2,810","2,800","2,790","2,720","2,780","2,810","2,860","2,890","2,940","2,970","2,990","2,990","2,970","2,980","3,000","3,010","3,020","3,030","3,020","2,990","2,930","2,890","2,830","2,780","2,740","2,710","2,680"
Somalia,"2,130","2,720","3,370","3,800","3,750","3,770","4,160","4,320","4,420","4,500","4,620","5,010","5,270","5,650","6,190","6,590","7,080","7,570","8,170","8,650","9,220","9,350","9,400","9,400","9,280","9,160","9,250","9,390","9,660"
South Africa,"61,810","66,130","69,370","74,760","80,650","86,820","95,140","101,440","108,410","114,150","119,490","127,570","138,260","150,690","155,950","161,590","167,630","172,170","174,930","177,390","180,480","185,600","189,740","195,140","200,890","202,730","206,750","215,020","224,160"
Eswatini,160,180,200,230,240,230,240,260,260,270,280,290,310,330,340,350,370,380,380,390,380,370,380,380,370,360,360,370,380
Tanzania,"1,780","1,820","1,870","1,940","1,970","1,950","1,990","2,000","2,060","2,300","2,760","3,160","3,460","3,690","3,820","3,940","4,110","4,270","4,370","4,500","4,600","4,660","4,650","4,830","4,930","4,850","4,870","4,960","5,090"
Uganda,"1,340","1,370","1,400","1,400","1,420","1,390","1,440","1,550","1,670","1,880","2,050","2,370","2,530","2,680","2,860","3,040","3,210","3,390","3,580","3,800","4,010","4,140","4,320","4,450","4,630","4,610","4,760","5,000","5,360"
Zambia,"2,980","3,100","3,210","3,310","3,450","3,510","3,800","3,990","4,240","4,540","4,900","5,280","5,710","5,970","6,170","6,350","6,660","6,970","7,170","7,310","7,480","7,510","7,540","7,550","7,650","7,600","7,790","8,180","8,730"
Zimbabwe,"10,320","10,620","10,930","11,350","12,110","13,210","15,130","17,220","19,620","21,680","23,700","26,270","29,600","32,450","33,710","34,610","36,300","37,770","39,020","40,170","41,570","42,350","42,840","43,570","44,270","44,070","45,040","47,610","50,440"
"S & E Afr, nec",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10
Inadequately Described,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Australian-born(d),"13,984,720","14,128,840","14,297,370","14,466,970","14,643,100","14,822,350","14,944,520","15,065,240","15,179,770","15,299,750","15,419,340","15,594,370","15,771,300","15,961,770","16,150,390","16,321,840","16,519,460","16,719,390","16,905,450","17,086,270","17,279,570","17,450,550","17,616,740","17,785,170","17,976,790","18,159,540","18,332,680","18,471,790","18,617,690"
Total overseas-born,"4,240,050","4,294,200","4,310,210","4,345,300","4,385,700","4,452,360","4,550,690","4,655,500","4,752,950","4,877,090","5,031,630","5,233,250","5,477,900","5,729,890","5,881,360","6,018,180","6,214,010","6,408,740","6,570,230","6,729,730","6,911,340","7,142,040","7,346,510","7,549,660","7,672,450","7,525,870","7,681,720","8,180,980","8,576,680"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"18,224,770","18,423,040","18,607,580","18,812,260","19,028,800","19,274,700","19,495,210","19,720,740","19,932,720","20,176,840","20,450,970","20,827,620","21,249,200","21,691,650","22,031,750","22,340,020","22,733,470","23,128,130","23,475,690","23,816,000","24,190,910","24,592,590","24,963,260","25,334,830","25,649,250","25,685,410","26,014,400","26,652,780","27,194,370"
